Year,Name,College,POS,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone
2000,Cedric Pittman,Nevada,OLB,75,261,,4.90,20,30.5,111,4.52,7.75
2000,DaShon Polk,Arizona,OLB,74,233,,4.75,18,32.0,111,4.45,7.43
2000,Hank Poteat,Pittsburgh,CB,70,197,,4.57,16,37.0,126,4.00,6.66
2000,Travis Prentice,Miami (OH),RB,73,225,,*4.50,23,37.0,115,4.40,6.92
2000,Tim Rattay,Louisiana Tech,QB,73,215,27,4.91,,25.5,100,4.21,7.34
2000,Chase Raynock,Montana,OT,78,308,,5.50,22,25.0,94,5.00,8.73
2000,Chris Redman,Louisville,QB,75,222,16,5.37,,26.5,98,4.78,7.80
2000,J.R. Redmond,Arizona State,RB,73,216,,*4.48,,32.5,121,,
2000,Quinton Reese,Auburn,DE,76,283,,5.13,18,30.0,101,4.68,7.91
2000,Tutan Reyes,Mississippi,OT,75,299,,5.37,20,26.5,99,4.88,7.49
2000,Rob Riti,Missouri,C,74,293,,5.19,17,29.5,106,,
2000,Fred Robbins,Wake Forest,DT,76,312,,5.09,25,29.5,94,4.72,7.72
2000,Greg Robinson-Randall,Michigan State,OT,78,333,,5.59,22,26.0,95,5.13,8.15
2000,Roger Roesler,Texas,OG,78,314,,5.31,25,29.5,101,4.76,8.31
2000,Phillip Rogers,Georgia Tech,RB,73,232,,4.68,19,37.0,124,4.31,7.21
2000,Lewis Sanders,Maryland,CB,73,202,,4.50,10,37.0,116,,
2000,Ketric Sanford,Houston,RB,68,199,,4.60,12,32.0,118,4.30,6.63
2000,Sekou Sanyika,California,OLB,75,241,,*4.75,21,32.5,111,4.38,7.33
2000,Manuia Savea,Arizona,OG,74,308,,5.34,24,25.0,92,,
2000,Gari Scott,Michigan State,WR,73,194,,4.59,,33.5,119,,
2000,Tony Scott,North Carolina State,CB,70,193,,4.50,11,34.0,115,4.24,7.45
2000,Richard Seals,Utah,DT,74,316,,5.13,24,28.5,102,4.60,7.78
2000,Aaron Shea,Michigan,FB,76,253,,4.81,,37.5,114,4.30,6.72
2000,Jacoby Shepherd,Oklahoma State,CB,74,195,,4.53,5,35.0,120,,
2000,Wes Shivers,Mississippi State,OT,78,318,,5.65,18,22.5,98,4.81,8.48
2000,Mark Simoneau,Kansas State,OLB,73,237,,4.60,24,36.0,117,4.09,7.08
2000,Peter Sirmon,Oregon,ILB,74,246,,4.84,20,34.5,115,4.27,7.21
2000,T.J. Slaughter,Southern Mississippi,ILB,73,247,,4.87,24,30.0,112,4.26,7.08
2000,Dwyte Smiley,Youngstown State (OH),FS,73,198,,4.57,13,35.0,115,4.29,7.18
2000,Jamel Smith,Virginia Tech,ILB,73,245,,5.18,,29.5,108,4.58,7.51
2000,Marvel Smith,Arizona State,OT,77,320,,5.37,24,27.5,100,4.83,7.87
2000,Paul Smith,Texas-El Paso,FB,71,220,,*4.65,25,,,,
2000,Terrelle Smith,Arizona State,FB,73,249,,5.00,19,32.5,109,4.85,8.38
2000,R.Jay Soward,Southern California,WR,70,177,,4.35,,35.0,124,,
2000,Rashon Spikes,North Carolina State,RB,71,204,,4.78,13,33.0,113,4.47,7.18
2000,Quinton Spotwood,Syracuse,WR,71,184,,*4.55,,33.5,123,,
2000,John St.Clair,Virginia,C,77,302,,*5.20,25,,,,
2000,Dave Stachelski,Boise State,TE,75,250,,4.78,24,38.0,115,4.14,6.84
2000,Shyrone Stith,Virginia Tech,RB,68,204,,4.60,13,35.0,111,4.14,7.14
2000,Jay Tant,Northwestern,TE,75,255,,*4.75,31,,,,
2000,Mark Tauscher,Wisconsin,OG,76,318,,5.37,22,27.0,90,4.84,7.91
2000,Shannon Taylor,Virginia,OLB,75,249,,*4.65,,34.5,115,,
2000,Travis Taylor,Florida,WR,73,199,,*4.43,,37.0,118,,7.15
2000,Adalius Thomas,Southern Mississippi,DE,75,270,,4.56,,38.5,120,4.42,
2000,Jason Thomas,Hampton,OG,76,300,,5.22,23,29.5,100,,7.99
2000,Michael Thompson,Tennessee State,OT,77,305,,5.28,16,26.0,104,4.73,7.99
2000,Travares Tillman,Georgia Tech,FS,73,194,,*4.60,15,37.5,123,4.29,6.95
2000,Mao Tosi,Idaho,DT,77,310,,5.26,19,28.5,99,4.60,7.72
